,POPESTIMATE,X..Adults.with.Obesity,Trade_2020,Employment.Location.Quotient.Relative.to.U.S._1,Asian,num_competitor,college_cnt,income_median,pop_belowPovertyThreshold,selfstorage_count,shopping_mall_cnt,POPESTIMATE_nor,X..Adults.with.Obesity_nor,Trade_2020_nor,Employment.Location.Quotient.Relative.to.U.S._1_nor,Asian_nor,num_competitor_nor,college_cnt_nor,income_median_nor,pop_belowPovertyThreshold_nor,selfstorage_count_nor,shopping_mall_cnt_nor,Clusters,State,County,MF_exist,nm_MF
626,29682,36.3,105955.0,0.64,701,0,1,652645.0,59.6,0,0,0.005025054348544189,0.7272727272727271,0.0025070601349920147,0.28571428571428575,0.0018155024746256982,0.0,0.008928571428571428,0.02539644743329884,0.025570083448614403,0.0,0.0,0,Illinois,McDonough,0,0
627,307774,33.2,1687509.0,0.91,8278,19,4,1974091.0,158.9,0,7,0.05906114784436225,0.6047430830039526,0.03992908821046897,0.6714285714285715,0.02143898642646438,0.02620689655172414,0.03571428571428571,0.10081801644069045,0.0698826364407158,0.0,0.08045977011494253,0,Illinois,McHenry,0,0
628,171517,31.4,1097235.0,1.12,8890,12,4,2149802.0,259.9,0,4,0.03258503205728574,0.533596837944664,0.025962287076758656,0.9714285714285718,0.02302399001344145,0.016551724137931035,0.03571428571428571,0.11084672689261796,0.11495381320005356,0.0,0.04597701149425287,0,Illinois,McLean,0,0
629,12196,27.2,31043.0,0.74,48,0,0,416324.0,17.2,0,0,0.001627347363561254,0.3675889328063241,0.0007345256738290511,0.4285714285714286,0.00012431400682173113,0.0,0.0,0.01190841946288174,0.006649114195189433,0.0,0.0,0,Illinois,Menard,0,0
630,15437,33.8,39474.0,0.74,59,0,0,925366.0,25.9,0,0,0.002257106504492839,0.6284584980237152,0.0009340162499992901,0.4285714285714286,0.0001528026333850445,0.0,0.0,0.040962006465801754,0.01053148288634031,0.0,0.0,0,Illinois,Mercer,0,0
631,34637,32.4,118575.0,1.03,379,0,2,707494.0,42.7,0,0,0.005987861057373564,0.5731225296442687,0.0028056689680211236,0.842857142857143,0.000981562678863252,0.0,0.017857142857142856,0.028526955708692934,0.018028470703735113,0.0,0.0,0,Illinois,Monroe,0,0
632,28414,30.8,173996.0,0.89,83,0,1,1075336.0,135.7,0,0,0.004778669099947692,0.5098814229249011,0.004117016046888496,0.6428571428571429,0.00021495963679591006,0.0,0.008928571428571428,0.049521548591653676,0.05952965326431345,0.0,0.0,0,Illinois,Montgomery,0,0
633,33658,37.9,295299.0,0.89,225,0,1,614584.0,31.1,0,1,0.00579763143720324,0.7905138339920947,0.006987233738879778,0.6428571428571429,0.0005827219069768646,0.0,0.008928571428571428,0.023224114747748062,0.01285197911553394,0.0,0.011494252873563218,0,Illinois,Morgan,0,0
634,14501,24.4,85777.0,0.53,23,0,0,353622.0,102.6,0,0,0.0020752322200399036,0.2569169960474308,0.002029617263925346,0.12857142857142861,5.9567128268746164e-05,0.0,0.0,0.008329700983351385,0.04475880226694632,0.0,0.0,0,Illinois,Moultrie,0,0
635,50643,36.6,0.0,0.79,219,0,0,1400915.0,91.0,0,0,0.009097989045571945,0.7391304347826086,0.0,0.5000000000000001,0.0005671826561241482,0.0,0.0,0.06810397951645693,0.03958231067874515,0.0,0.0,0,Illinois,Ogle,0,0
